Symptoms,Disease
"itching, vomiting, nausea, loss of appetite, abdominal pain, yellowing of eyes,",Hypoglycemia
"fatigue, cramps, bruising, swollen legs, swollen blood vessels, prominent veins on calf,",GERD
"back pain, neck pain, dizziness, loss of balance",Drug Reaction
"itching, skin rash, dischromic  patches,",AIDS
"chills, cough, high fever, breathlessness, sweating, malaise, phlegm, chest pain, fast heart rate, rusty sputum,",Paralysis (brain hemorrhage)
"itching, skin rash, stomach pain, burning micturition",Hypothyroidism
"yellowish skin, nausea, loss of appetite, yellowing of eyes, family history",Alcoholic hepatitis
"pain during bowel movements, pain in anal region, bloody stool, irritation in anus",Dimorphic hemmorhoids(piles)
"itching, skin rash, burning micturition, spotting  urination",Chicken pox
"itching, skin rash, stomach pain, spotting  urination","Chronic cholestasis,"
"vomiting, headache, nausea, loss of balance, unsteadiness",(vertigo) Paroymsal  Positional Vertigo
"vomiting, breathlessness, chest pain,",Varicose veins
"vomiting, fatigue, anxiety, sweating, nausea, blurred and distorted vision, excessive hunger, drying and tingling lips, slurred speech, irritability, palpitations",Jaundice
"back pain, weakness in limbs, neck pain, dizziness, loss of balance",Paralysis (brain hemorrhage)
"itching, skin rash, stomach pain, burning micturition, spotting  urination",Hepatitis C
"vomiting, yellowish skin, abdominal pain, swelling of stomach, distention of abdomen, fluid overload,",Drug Reaction
"vomiting, headache, nausea, spinning movements, loss of balance, unsteadiness,",Impetigo
"vomiting, breathlessness, chest pain,",Urinary tract infection
"fatigue, bruising, obesity, swollen legs, swollen blood vessels, prominent veins on calf,",Malaria
"vomiting, headache, nausea, spinning movements, loss of balance",Bronchial Asthma
"vomiting, fatigue, yellowish skin, dark urine, nausea, loss of appetite, abdominal pain, yellowing of eyes,",Typhoid
"chills, high fever, sweating, headache, nausea, diarrhoea, muscle pain","Chronic cholestasis,"
"fatigue, yellowish skin, nausea, loss of appetite, family history",Hypertension
"chills, vomiting, fatigue, weight loss, cough, high fever, breathlessness, sweating, loss of appetite, mild fever, yellowing of eyes, swelled lymph nodes, malaise, phlegm, chest pain, blood in sputum,",Hepatitis C
"chills, vomiting, fatigue, weight loss, high fever, breathlessness, sweating, loss of appetite, mild fever, yellowing of eyes, swelled lymph nodes, malaise, phlegm, chest pain, blood in sputum",Allergy
"fatigue, weight gain, cold hands and feets, mood swings, dizziness, puffy face and eyes, enlarged thyroid, brittle nails, swollen extremeties, depression, irritability, abnormal menstruation,",Jaundice
"itching, skin rash, stomach pain, burning micturition",Paralysis (brain hemorrhage)
"muscle weakness, stiff neck, swelling joints, movement stiffness",Typhoid
"fatigue, cramps, bruising, obesity, swollen legs, swollen blood vessels, prominent veins on calf",Jaundice
"vomiting, yellowish skin, nausea, loss of appetite, abdominal pain, yellowing of eyes,",GERD
"constipation, pain during bowel movements, pain in anal region, bloody stool",Migraine
"itching, vomiting, fatigue, weight loss, high fever, yellowish skin, dark urine",Gastroenteritis
"pus filled pimples, blackheads, scurring,",Jaundice
"constipation, pain during bowel movements, pain in anal region, bloody stool",Hypothyroidism
"chills, fatigue, cough, high fever, sweating, malaise, phlegm, chest pain, fast heart rate, rusty sputum,",Pneumonia
"vomiting, loss of appetite, abdominal pain, passage of gases, internal itching",Alcoholic hepatitis
"joint pain, knee pain, hip joint pain, swelling joints, painful walking",Arthritis
"itching, skin rash, stomach pain, burning micturition","Chronic cholestasis,"
"fatigue, bruising, obesity, swollen legs, swollen blood vessels, prominent veins on calf,",Cervical spondylosis
"joint pain, neck pain, knee pain, hip joint pain, painful walking",Alcoholic hepatitis
"itching, vomiting, yellowish skin, nausea, loss of appetite, abdominal pain, yellowing of eyes",Drug Reaction
"fatigue, weight loss, restlessness, lethargy, irregular sugar level, blurred and distorted vision, obesity, excessive hunger, increased appetite, polyuria,",Tuberculosis
"vomiting, breathlessness, sweating,",Acne
"joint pain, vomiting, fatigue, high fever, yellowish skin, dark urine, nausea, loss of appetite, abdominal pain, yellowing of eyes, acute liver failure, coma, stomach bleeding",GERD
"vomiting, indigestion, loss of appetite, passage of gases, internal itching",Hypothyroidism
"itching, skin rash, stomach pain, burning micturition",GERD
"vomiting, yellowish skin, nausea, loss of appetite, abdominal pain, yellowing of eyes,","Chronic cholestasis,"
"fatigue, cramps, bruising, obesity, swollen legs, prominent veins on calf,",Paralysis (brain hemorrhage)
"fatigue, yellowish skin, nausea, loss of appetite, family history",Tuberculosis
"itching, skin rash, stomach pain, spotting  urination",Drug Reaction
"stomach pain, acidity, vomiting, cough, chest pain",GERD
"muscle wasting, high fever, extra marital contacts,",Urinary tract infection
"pain during bowel movements, pain in anal region, bloody stool, irritation in anus",Psoriasis
"weight loss, restlessness, lethargy, irregular sugar level, blurred and distorted vision, obesity, excessive hunger, increased appetite, polyuria",Hypoglycemia
"chills, fatigue, weight loss, cough, high fever, breathlessness, sweating, loss of appetite, mild fever, yellowing of eyes, swelled lymph nodes, malaise, phlegm, chest pain, blood in sputum",Pneumonia
"constipation, pain during bowel movements, pain in anal region, irritation in anus",Dimorphic hemmorhoids(piles)
"skin rash, pus filled pimples, blackheads,",Gastroenteritis
"back pain, weakness in limbs, neck pain, dizziness",Migraine
"weight loss, restlessness, lethargy, irregular sugar level, blurred and distorted vision, obesity, excessive hunger, increased appetite, polyuria",Hypoglycemia
"itching, vomiting, fatigue, weight loss, high fever, dark urine, abdominal pain",AIDS
"skin rash, pus filled pimples, scurring,",Common Cold
"vomiting, indigestion, loss of appetite, passage of gases, internal itching",Arthritis
"vomiting, fatigue, anxiety, sweating, headache, nausea, blurred and distorted vision, excessive hunger, drying and tingling lips, slurred speech, irritability, palpitations,",Jaundice
"muscle weakness, swelling joints, movement stiffness, painful walking",Cervical spondylosis
"chills, vomiting, sweating, headache, nausea, diarrhoea, muscle pain",Dengue
"itching, skin rash, stomach pain, burning micturition",Cervical spondylosis
"constipation, pain during bowel movements, bloody stool, irritation in anus",Hypothyroidism
"itching, vomiting, fatigue, weight loss, high fever, yellowish skin, abdominal pain",Hepatitis C
"itching, vomiting, nausea, loss of appetite, abdominal pain, yellowing of eyes,",Cervical spondylosis
"itching, skin rash, stomach pain, spotting  urination",Hepatitis E
"continuous sneezing, chills, fatigue, high fever, headache, swelled lymph nodes, malaise, phlegm, throat irritation, redness of eyes, sinus pressure, runny nose, congestion, chest pain, loss of smell, muscle pain,",Urinary tract infection
"vomiting, fatigue, anxiety, sweating, nausea, blurred and distorted vision, excessive hunger, drying and tingling lips, slurred speech, irritability, palpitations",Cervical spondylosis
"weight loss, restlessness, lethargy, irregular sugar level, blurred and distorted vision, obesity, excessive hunger, increased appetite, polyuria",Bronchial Asthma
"weight gain, cold hands and feets, mood swings, lethargy, dizziness, puffy face and eyes, enlarged thyroid, brittle nails, swollen extremeties, depression, irritability, abnormal menstruation,",Varicose veins
"itching, skin rash, stomach pain, burning micturition","Chronic cholestasis,"
"acidity, ulcers on tongue, vomiting, cough, chest pain",Migraine
"patches in throat, high fever, extra marital contacts,",Allergy
"vomiting, indigestion, loss of appetite, abdominal pain, passage of gases, internal itching,",Hepatitis D
"vomiting, indigestion, loss of appetite, passage of gases, internal itching",Varicose veins
"shivering, chills, watering from eyes,",Common Cold
"muscle weakness, stiff neck, swelling joints, painful walking",Hepatitis C
"neck pain, knee pain, hip joint pain, swelling joints, painful walking",Gastroenteritis
"itching, skin rash, stomach pain, burning micturition",Gastroenteritis
"vomiting, headache, nausea, spinning movements, loss of balance, unsteadiness,",Alcoholic hepatitis
"continuous sneezing, shivering, chills, watering from eyes",Jaundice
"vomiting, sweating, chest pain,","Chronic cholestasis,"
"vomiting, loss of appetite, abdominal pain, passage of gases, internal itching",Heart attack
"vomiting, fatigue, weight loss, cough, high fever, breathlessness, sweating, loss of appetite, mild fever, yellowing of eyes, swelled lymph nodes, malaise, phlegm, chest pain, blood in sputum",Gastroenteritis
"constipation, pain during bowel movements, bloody stool, irritation in anus",Tuberculosis
"itching, nodal skin eruptions, dischromic  patches,",Allergy
"joint pain, vomiting, fatigue, high fever, yellowish skin, nausea, loss of appetite, abdominal pain, yellowing of eyes, acute liver failure, coma, stomach bleeding,",Allergy
"chills, vomiting, fatigue, weight loss, high fever, breathlessness, sweating, loss of appetite, mild fever, yellowing of eyes, swelled lymph nodes, malaise, phlegm, chest pain, blood in sputum",Hypothyroidism
"itching, vomiting, yellowish skin, nausea, loss of appetite, yellowing of eyes,",Migraine
"chills, fatigue, cough, high fever, breathlessness, sweating, phlegm, chest pain, fast heart rate, rusty sputum,",Hepatitis D
"yellowish skin, nausea, loss of appetite, yellowing of eyes, family history",Heart attack
"vomiting, breathlessness, sweating,",Diabetes
"stomach pain, acidity, ulcers on tongue, vomiting, cough, chest pain,",Acne
"vomiting, fatigue, anxiety, headache, nausea, blurred and distorted vision, excessive hunger, drying and tingling lips, slurred speech, irritability, palpitations",Psoriasis
"itching, vomiting, yellowish skin, loss of appetite, abdominal pain, yellowing of eyes,",Hypoglycemia
"muscle wasting, patches in throat, extra marital contacts,",Bronchial Asthma
"itching, fatigue, lethargy, yellowish skin, loss of appetite, abdominal pain, yellow urine, yellowing of eyes, malaise, receiving blood transfusion, receiving unsterile injections",Alcoholic hepatitis
"fatigue, yellowish skin, nausea, loss of appetite, family history",Hypothyroidism
"chills, fatigue, high fever, breathlessness, sweating, malaise, phlegm, chest pain, fast heart rate, rusty sputum,",Hypothyroidism
"vomiting, headache, nausea, spinning movements, loss of balance, unsteadiness,",Osteoarthristis
"skin rash, pus filled pimples, scurring,",Drug Reaction
"fatigue, cough, high fever, breathlessness, sweating, malaise, phlegm, chest pain, fast heart rate, rusty sputum,",Alcoholic hepatitis
"chills, vomiting, fatigue, cough, high fever, breathlessness, sweating, loss of appetite, mild fever, yellowing of eyes, swelled lymph nodes, malaise, phlegm, chest pain, blood in sputum",Paralysis (brain hemorrhage)
"chest pain, dizziness, loss of balance, lack of concentration",Jaundice
"itching, fatigue, lethargy, yellowish skin, loss of appetite, abdominal pain, yellow urine, yellowing of eyes, malaise, receiving blood transfusion, receiving unsterile injections",hepatitis A
"fatigue, yellowish skin, nausea, loss of appetite, family history",Dimorphic hemmorhoids(piles)
"vomiting, indigestion, loss of appetite, passage of gases, internal itching",Chicken pox
"chills, vomiting, high fever, sweating, headache, nausea, diarrhoea, muscle pain,",Allergy
"muscle weakness, stiff neck, swelling joints, movement stiffness, painful walking",Alcoholic hepatitis
"breathlessness, sweating, chest pain,",Heart attack
"itching, skin rash, burning micturition, spotting  urination",hepatitis A
"vomiting, nausea, spinning movements, loss of balance, unsteadiness",Tuberculosis
"fatigue, weight loss, restlessness, sweating, diarrhoea, fast heart rate, excessive hunger, muscle weakness, irritability, abnormal menstruation,",Varicose veins
"fatigue, cough, high fever, family history, mucoid sputum",Dimorphic hemmorhoids(piles)
"skin rash, pus filled pimples, blackheads, scurring",Acne
"fatigue, cramps, bruising, obesity, swollen legs, swollen blood vessels,",Diabetes
"fatigue, cold hands and feets, mood swings, lethargy, dizziness, puffy face and eyes, enlarged thyroid, brittle nails, swollen extremeties, depression, irritability, abnormal menstruation,",Osteoarthristis
